MB_CODE_2016,LGA_CODE_2016,LGA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
10000010000,10050,Albury (C),1,New South Wales,0.0209
10006690000,10130,Armidale Regional (A),1,New South Wales,0.0420
10023470000,10250,Ballina (A),1,New South Wales,0.0655
10029080000,10300,Balranald (A),1,New South Wales,4.9143
10051040000,10470,Bathurst Regional (A),1,New South Wales,0.0438
10072450000,10550,Bega Valley (A),1,New South Wales,71.5949
10079930000,10600,Bellingen (A),1,New South Wales,0.0437
10082720000,10650,Berrigan (A),1,New South Wales,0.0321
10084620000,10750,Blacktown (C),1,New South Wales,0.0359
10113720000,10800,Bland (A),1,New South Wales,0.3922
10115410000,10850,Blayney (A),1,New South Wales,0.1071
10116500000,10900,Blue Mountains (C),1,New South Wales,0.0341
10128180000,10950,Bogan (A),1,New South Wales,4.8537
10130700000,11100,Botany Bay (C),1,New South Wales,0.0367
10135210000,11150,Bourke (A),1,New South Wales,0.9272
10137230000,11200,Brewarrina (A),1,New South Wales,209.3423
10137620000,11250,Broken Hill (C),1,New South Wales,0.0364
10140510000,11300,Burwood (A),1,New South Wales,0.0226
10144400000,11350,Byron (A),1,New South Wales,0.3892
10014935000,11400,Cabonne (A),1,New South Wales,16.9208
10151280000,11450,Camden (A),1,New South Wales,0.0355
10156610000,11500,Campbelltown (C) (NSW),1,New South Wales,0.0518
10172520000,11520,Canada Bay (A),1,New South Wales,0.0123
10031630000,11570,Canterbury-Bankstown (A),1,New South Wales,0.0176
10196780000,11600,Carrathool (A),1,New South Wales,0.0332
10283290000,11650,Central Coast (C) (NSW),1,New South Wales,0.0318
10200600000,11700,Central Darling (A),1,New South Wales,0.8093
10203571000,11720,Cessnock (C),1,New South Wales,0.0547
10210200000,11730,Clarence Valley (A),1,New South Wales,0.2487
10219300000,11750,Cobar (A),1,New South Wales,1.1329
10221390000,11800,Coffs Harbour (C),1,New South Wales,0.0457
10231410000,12000,Coolamon (A),1,New South Wales,0.0686
10234240000,12150,Coonamble (A),1,New South Wales,583.4854
10238370000,12350,Cowra (A),1,New South Wales,0.1883
10017171000,12380,Cumberland (A),1,New South Wales,0.0990
10246870000,12700,Dungog (A),1,New South Wales,9.2890
10231110000,12730,Edward River (A),1,New South Wales,1.9677
10248470000,12750,Eurobodalla (A),1,New South Wales,1.2494
10257020000,12850,Fairfield (C),1,New South Wales,0.0264
10236410000,12870,Federation (A),1,New South Wales,1.0178
10277500000,12900,Forbes (A),1,New South Wales,13.2016
10183030000,12930,Georges River (A),1,New South Wales,0.0270
10279370000,12950,Gilgandra (A),1,New South Wales,0.0664
10280070000,13010,Glen Innes Severn (A),1,New South Wales,0.0538
10306750000,13310,Goulburn Mulwaree (A),1,New South Wales,0.0382
10006211000,13340,Greater Hume Shire (A),1,New South Wales,7.4504
10329361000,13450,Griffith (C),1,New South Wales,0.0328
10235100000,13510,Gundagai (A),1,New South Wales,0.0642
10333980000,13550,Gunnedah (A),1,New South Wales,0.0064
10336970000,13660,Gwydir (A),1,New South Wales,0.0540
10350480000,13800,Hawkesbury (C),1,New South Wales,4.8990
10357860000,13850,Hay (A),1,New South Wales,1.2175
10130000000,13910,Hilltops (A),1,New South Wales,0.0539
10030510000,14000,Hornsby (A),1,New South Wales,0.0276
10386470000,14100,Hunters Hill (A),1,New South Wales,0.0479
10011670000,14170,Inner West (A),1,New South Wales,0.0251
10397570000,14200,Inverell (A),1,New South Wales,39.5347
10400250000,14300,Junee (A),1,New South Wales,0.0260
10401140000,14350,Kempsey (A),1,New South Wales,84.3606
10405990000,14400,Kiama (A),1,New South Wales,11.5355
10415910000,14500,Ku-ring-gai (A),1,New South Wales,0.0436
10427140000,14550,Kyogle (A),1,New South Wales,14.9207
10429220000,14600,Lachlan (A),1,New South Wales,221.2332
10430860000,14650,Lake Macquarie (C),1,New South Wales,0.0384
10454980000,14700,Lane Cove (A),1,New South Wales,0.0239
10459610000,14750,Leeton (A),1,New South Wales,1.2286
10467960000,14850,Lismore (C),1,New South Wales,0.0390
10472911000,14870,Lithgow (C),1,New South Wales,0.0902
10476580000,14900,Liverpool (C),1,New South Wales,0.0279
10492870000,14920,Liverpool Plains (A),1,New South Wales,39.9358
10494350000,14950,Lockhart (A),1,New South Wales,3.8206
10495160000,15050,Maitland (C),1,New South Wales,0.1277
10281890000,15240,Mid-Coast (A),1,New South Wales,0.0066
10474730000,15270,Mid-Western Regional (A),1,New South Wales,38.0047
10521930000,15300,Moree Plains (A),1,New South Wales,579.0495
10523890000,15350,Mosman (A),1,New South Wales,0.0225
10527830000,15520,Murray River (A),1,New South Wales,0.0245
10196930000,15560,Murrumbidgee (A),1,New South Wales,2.0249
10529800000,15650,Muswellbrook (A),1,New South Wales,32.8192
10081050000,15700,Nambucca (A),1,New South Wales,0.1676
10534780000,15750,Narrabri (A),1,New South Wales,157.0163
10536830000,15800,Narrandera (A),1,New South Wales,137.6677
10538110000,15850,Narromine (A),1,New South Wales,0.0364
10538900000,15900,Newcastle (C),1,New South Wales,0.0299
10526940000,15950,North Sydney (A),1,New South Wales,0.0039
10502610000,15990,Northern Beaches (A),1,New South Wales,0.0632
10567580000,16100,Oberon (A),1,New South Wales,2.5454
10569330000,16150,Orange (C),1,New South Wales,0.0511
10576800000,16200,Parkes (A),1,New South Wales,171.6637
10017140000,16260,Parramatta (C),1,New South Wales,0.0215
10599670000,16350,Penrith (C),1,New South Wales,0.0289
10035266000,16380,Port Macquarie-Hastings (A),1,New South Wales,0.3022
